,uid,storage,instance,size,blocksize,read_io_bytes,read_io_kbytes,read_bw_bytes,read_bw,read_iops,read_runtime,read_total_ios,read_short_ios,read_drop_ios,read_bw_min,read_bw_max,read_bw_agg,read_bw_mean,read_bw_dev,read_bw_samples,read_iops_min,read_iops_max,read_iops_mean,read_iops_stddev,read_iops_samples,write_io_bytes,write_io_kbytes,write_bw_bytes,write_bw,write_iops,write_runtime,write_total_ios,write_short_ios,write_drop_ios,write_bw_min,write_bw_max,write_bw_agg,write_bw_mean,write_bw_dev,write_bw_samples,write_iops_min,write_iops_max,write_iops_mean,write_iops_stddev,write_iops_samples,trim_io_bytes,trim_io_kbytes,trim_bw_bytes,trim_bw,trim_iops,trim_runtime,trim_total_ios,trim_short_ios,trim_drop_ios,trim_bw_min,trim_bw_max,trim_bw_agg,trim_bw_mean,trim_bw_dev,trim_bw_samples,trim_iops_min,trim_iops_max,trim_iops_mean,trim_iops_stddev,trim_iops_samples
36,2,filestore,n1-standard-2,3,64,2416246784,2359616,281646670,275045,4297.587131,8579,36869,0,0,163968,329472,100.0,275822.117647,33155.016896,17,2562,5148,4309.647059,518.041135,17,804978688,786112,93831295,91632,1431.751952,8579,12283,0,0,54784,108288,99.860176,91504.235294,10384.523704,17,856,1692,1429.647059,162.239384,17,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
37,3,filestore,n1-standard-2,1,256,798490624,779776,408226290,398658,1557.259714,1956,3046,0,0,401408,499736,100.0,437426.666667,54180.238661,3,1568,1952,1708.666667,211.587649,3,275251200,268800,140721472,137423,536.809816,1956,1050,0,0,125952,161469,100.0,140009.666667,18879.958271,3,492,630,546.666667,73.330303,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
38,1,filestore,n1-standard-2,2,256,1601437696,1563904,395124030,385863,1507.278559,4053,6109,0,0,334848,464384,100.0,390272.0,41587.648276,8,1308,1814,1524.5,162.451751,8,546045952,533248,134726363,131568,513.940291,4053,2083,0,0,117248,149504,98.795524,129984.0,10558.476081,8,458,584,507.75,41.244047,8,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
39,3,filestore,n1-standard-2,4,32,3221356544,3145856,151922115,148361,4636.295039,21204,98308,0,0,136640,184896,99.903317,148218.238095,8684.442273,42,4270,5778,4631.809524,271.398477,42,1073610752,1048448,50632463,49445,1545.180155,21204,32764,0,0,46528,61696,99.761831,49328.642857,2369.586028,42,1454,1928,1541.5,74.051811,42,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
40,4,filestore,n1-standard-2,1,128,800718848,781952,381840175,372890,2913.209347,2097,6109,0,0,345088,458240,100.0,380160.0,52843.59251,4,2696,3580,2970.0,412.840566,4,273022976,266624,130196936,127145,993.323796,2097,2083,0,0,118784,142848,100.0,127360.0,10611.912803,4,928,1116,995.0,82.905569,4,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
41,4,filestore,n1-standard-2,1,32,805666816,786784,157479831,153788,4805.903049,5116,24587,0,0,142784,191041,99.839457,153542.5,14153.29946,10,4462,5970,4798.2,442.281409,10,268075008,261792,52399336,51171,1599.10086,5116,8181,0,0,46592,62211,99.380068,50854.7,4303.469713,10,1456,1944,1589.2,134.455941,10,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
42,3,filestore,n1-standard-2,4,128,3222667264,3147136,375427220,366628,2864.282386,8584,24587,0,0,292864,459264,100.0,368399.058824,36229.593416,17,2288,3588,2878.117647,283.043699,17,1072300032,1047168,124918456,121990,953.05219,8584,8181,0,0,111104,143104,99.889598,121856.0,7277.450103,17,868,1118,952.0,56.855079,17,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
43,1,filestore,n1-standard-2,2,128,1609039872,1571328,383652806,374660,2927.038627,4194,12276,0,0,309760,461824,100.0,378656.0,44606.891562,8,2420,3610,2958.5,349.024354,8,538443776,525824,128384305,125375,979.494516,4194,4108,0,0,116736,144128,99.69428,124992.0,8753.071755,8,912,1126,976.5,68.383373,8,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
44,2,filestore,n1-standard-2,3,32,2418606080,2361920,153289775,149697,4678.032704,15778,73810,0,0,131072,184768,99.929828,149592.774194,9760.19483,31,4096,5774,4674.774194,305.006088,31,802619392,783808,50869526,49677,1552.414755,15778,24494,0,0,46656,61184,99.631076,49494.709677,2442.450439,31,1458,1912,1546.709677,76.326576,31,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
45,2,filestore,n1-standard-2,3,128,2419064832,2362368,366747245,358151,2798.05943,6596,18456,0,0,160256,461056,100.0,361038.769231,67273.580815,13,1252,3602,2820.615385,525.57485,13,802160640,783360,121613195,118762,927.835052,6596,6120,0,0,57856,142080,99.88474,118626.461538,19882.082087,13,452,1110,926.769231,155.328766,13,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
